"Participation rate, Australia, August 1966 to January 2024, Seasonally adjusted"
"Apr-22","66.5","70.9","62.2"
"May-22","66.7","71.3","62.2"
"Jun-22","66.8","71.3","62.5"
"Jul-22","66.6","71.1","62.4"
"Aug-22","66.7","71.2","62.4"
"Sep-22","66.7","71.3","62.3"
"Oct-22","66.6","71.1","62.3"
"Nov-22","66.8","71.2","62.6"
"Dec-22","66.7","71.2","62.3"
"Jan-23","66.7","71.4","62.3"
"Feb-23","66.7","71.4","62.2"
"Mar-23","66.9","71.3","62.6"
"Apr-23","66.8","71.3","62.5"
"May-23","67.0","71.4","62.7"
"Jun-23","66.9","71.4","62.6"
"Jul-23","66.9","71.5","62.5"
"Aug-23","67.0","71.7","62.5"
"Sep-23","66.8","71.0","62.7"
"Oct-23","67.0","71.3","62.8"
"Nov-23","67.3","71.7","63.0"
"Dec-23","66.8","71.2","62.6"
"Jan-24","66.8","71.1","62.6"

"Source: Australian Bureau of Statistics, Labour Force, Australia January 2024"
